Id,Triple,Label
0,34881 intercommunality 14230,0
1,9387 ownerOper 39573,0
2,12480 coach 24064,0
3,6871 branches 22010,0
4,13789 damsire 33095,0
5,29942 f 29955,1
6,31176 role 14389,1
7,112 playerTeam 119,1
8,39424 previousowners 39210,0
9,41621 nationalOrigin 16105,0
10,4920 commander 14885,0
11,117 kicker 5411,0
12,14851 debutfor 38196,0
13,32439 hostCity 32441,1
14,35093 issue 29840,0
15,5652 runnerUp 39793,0
16,31280 influenced 3610,0
17,43446 riding 27839,0
18,40944 sisterSchool 3839,0
19,11301 towns 14582,0
20,37539 player 37540,1
21,15453 line 30679,0
22,9581 monarch 23393,1
23,29802 seat 14417,0
24,3885 constituencyWestminster 15153,1
25,17552 beforeElection 25630,0
26,7416 runner 7419,1
27,5320 nation 25020,0
28,8986 nearW 40336,0
29,30297 commander 18724,0
30,28767 cup1Result 27601,1
31,40441 north 4429,0
32,9726 shireDistrict 924,0
33,25830 defCoach 34740,0
34,42546 house 42547,1
35,14487 nearSw 1315,0
36,22150 winners 22154,1
37,26353 next 8957,0
38,14517 postseason 13510,1
39,8033 followedBy 8034,1
40,25278 areaServed 10575,0
41,13820 stat2label 2846,0
42,40378 destinations 40376,1
43,360 bowlname 356,1
44,37884 south 37886,1
45,9163 m 11477,1
46,4193 sponsor 16404,0
47,21395 company 16967,0
48,26703 platform 4734,0
49,14045 intercommunality 14046,1
50,5298 primeminister 14839,1
51,507 related 37960,0
52,14225 related 14226,1
53,27919 leagueLink 34592,0
54,43397 pictureFormat 34169,0
55,7080 intercommunality 3565,0
56,28971 mmf 33102,0
57,23039 equipment 23221,0
58,43022 parent 13145,0
59,10604 nearN 43488,0
60,1257 sponsor 1169,0
61,24234 binomialAuthority 10858,0
62,34575 relatives 25915,0
63,6036 runnerUp 6037,1
64,1243 recruit 2874,1
65,2921 west 41047,1
66,11738 mapEntity 3296,1
67,25374 department 15041,0
68,23639 hometown 13969,0
69,6978 playerTeam 6983,1
70,8655 competition 13941,1
71,25775 third 30940,0
72,7679 commander 7681,1
73,15236 fields 15237,1
74,2686 northwest 2687,1
75,14896 goalie 34807,0
76,7401 administrator 7403,1
77,43088 gamename 13564,1
78,12696 source 17067,0
79,13466 nearS 38358,0
80,27856 honorificSuffix 15467,0
81,19556 owners 19557,1
82,18 areaCodeType 25745,0
83,588 allMusic 28232,0
84,24322 cableServ 24354,1
85,7074 north 23118,0
86,14374 side 14376,1
87,23860 usAnnouncers 29292,1
88,7525 relations 14834,0
89,23691 teamb 27391,0
90,8480 suffragans 35175,0
91,19836 children 32805,0
92,6547 tourney 6294,1
93,18081 coa 17566,0
94,22525 course 13080,1
95,5235 related 9528,0
96,25830 tvstation 12401,1
97,13730 southeast 3952,0
98,30176 t 30177,1
99,14539 borough 38663,0
100,39792 champions 21056,1
101,11344 churchmanship 12847,0
102,39743 nominee 39744,1
103,3438 mvp 3440,1
104,41148 notableCommanders 41149,1
105,12560 academicAffiliation 12564,1
106,17826 postalCode 26083,0
107,8610 north 15755,0
108,24150 services 18428,1
109,6416 parent 35889,0
110,11008 north 11011,1
111,37508 keyPeople 37509,1
112,8296 style 4056,0
113,33494 allStadiums 13980,0
114,4356 states 7750,0
115,15340 nearestCity 15342,1
116,1832 afterElection 35510,0
117,23959 unit 23960,1
118,5157 lieutenant 17599,0
119,29933 governor 38564,1
120,28004 diocese 19894,0
121,33889 leaderName 2177,0
122,5904 south 8797,0
